Name,OAID#link#multi,Affiliation#sortquan,City#sortquan,Region#sortquan,Country#sortquan,Latitude#hidden,Longitude#hidden,Collaborators#multi#link#sortquan,Scope#multi#sortquan,Keywords#multi#sortquan,OA concepts#multi#sortquan,Publications#hidden,Publication Dates#multi#sortquan,#img,#netvis,nerPerson#multi,nerPopulation Group#multi,nerFacility#multi,nerOrganization#multi,nerAdministrative Area#multi,nerLocation#multi,nerProduct#multi,nerEvent#multi,nerWork of Art#multi,nerLegal Document#multi,nerLanguage#multi,nerDate#multi
Fernanda Fink Schappo,https://openalex.org/A2909392195,Unknown,,,,,,,aquifer|transboundary,,Government (linguistics)|Geology|Resource (disambiguation)|Linguistics|Environmental planning|Environmental science|Computer science|Public administration|Politics|Geography|Legislation|Groundwater|Geotechnical engineering|Computer network|Water resource management|Mechanical engineering|Law|Work (physics)|Engineering|Aquifer|Philosophy|Sovereignty|Political science,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2909392195"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2018,US,,,,,,,,,,,,,
Fernando Pablo SuÃ¡rez Rubio,https://openalex.org/A2793885427,Unknown,,,,,,https://openalex.org/A2789287136|https://openalex.org/A2370889782|https://openalex.org/A2792136924|https://openalex.org/A2528727240,aquifer|transboundary,,Geology|Biology|Economy|Amazon rainforest|Archaeology|Geomorphology|Commission|Context (archaeology)|Cartography|Tributary|Natural resource|Structural basin|Environmental protection|Law|Economics|Ecology|Geography|Welfare economics|Political science,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2793885427"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2018,US,e0bdddb97489fbd9b98fc55c960edebf9602a4b0c727b134e733a46edec9d648,,,,,,,,,,,,
Fidel Ribera Urenda,https://openalex.org/A2500039173,Unknown,,,,,,,aquifer|transboundary,,Agriculture|Paleontology|Arid|Groundwater|Archaeology|Ecology|Geology|Geotechnical engineering|Groundwater recharge|Overexploitation|Hydrology (agriculture)|Water quality|Aquifer|Biology|Environmental science|Geography|Water resource management,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2500039173"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2016,US,,,,,,,,,,,,,
Filip Johnsson,https://openalex.org/A2159010992,Chalmers University of Technology,Gothenburg,,Sweden,57.68833,11.976667,https://openalex.org/A2144426466|https://openalex.org/A133778760|https://openalex.org/A2087615041|https://openalex.org/A1894392188|https://openalex.org/A2021505461,aquifer|transboundary,,Water Framework Directive|Geology|Water quality|Biology|Electrical engineering|Oceanography|Carbon capture and storage (timeline)|Environmental planning|Environmental science|Computer science|Climate change|Programming language|Port (circuit theory)|Directive|Environmental resource management|Environmental protection|Mechanical engineering|Work (physics)|Ecology|Engineering,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2159010992"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2011,US,3175f3a586a32f7e3c4b0a8c63af67222f1f1fa6b98cfb5ee79727c3715a9246,,,,,Gothenburg,,,,,,,
Flavia Rocha Loures,https://openalex.org/A2656056548,World Wide Fund for Nature,Dar es Salaam,,Tanzania,-6.813275,39.219913,https://openalex.org/A2425602418|https://openalex.org/A2385255006,aquifer|transboundary,,International law|Biology|Sustainability|General assembly|Archaeology|Negotiation|Scope (computer science)|Computer science|Commission|Geography|Groundwater|Programming language|Geotechnical engineering|Relevance (law)|Sanctions|Law|Ecology|Engineering|Aquifer|Context (archaeology)|Political science,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2656056548"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2011,US,78bd0b3b3d4301dbfd043bb6098077d5fe725443062499e53d786b9c5133697e,,,,,,,,,,,,
Flora Pacheco,https://openalex.org/A2675915508,Unknown,,,,,,https://openalex.org/A2489258024|https://openalex.org/A2639543091|https://openalex.org/A3132826496|https://openalex.org/A2633566122|https://openalex.org/A3186123300|https://openalex.org/A2497891593|https://openalex.org/A2510841100,aquifer|transboundary,,Hydrogeology|Groundwater|Basalt|Outcrop|Geology|Groundwater recharge|Geotechnical engineering|Hydrology (agriculture)|Geochemistry|Aquifer|Geomorphology,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2675915508"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2008,US,bba5b4662d18a36d2287a0ee0548ff923450f0b5306ecaa55f8d540f647b1631,,,,,,,,,,,,
Florence Habets,https://openalex.org/A1886116315,Ãcole Normale SupÃ©rieure,Bujumbura,,Burundi,-3.359423,29.384378,https://openalex.org/A1228118215|https://openalex.org/A145583819|https://openalex.org/A1850937762|https://openalex.org/A2576987664|https://openalex.org/A2549556653|https://openalex.org/A2165056443|https://openalex.org/A2307872080|https://openalex.org/A2150587955|https://openalex.org/A2986784982|https://openalex.org/A2307879088,aquifer|transboundary,,Water balance|Structural basin|Cartography|Drainage basin|Aquifer properties|Thermodynamics|Aquifer test|Infiltration (HVAC)|Groundwater|Geology|Geotechnical engineering|Groundwater recharge|Hydrology (agriculture)|Aquifer|Physics|Geomorphology|Geography,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A1886116315"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2012,US,843a0d8f482daacaeb0af6af610623a203ad5139eae7201ba6ae9a48d3fe60d9,,,,,,,,,,,,
Florencio DÃ­az,https://openalex.org/A2183826161,Unknown,,,,,,https://openalex.org/A2183103548|https://openalex.org/A2171900185|https://openalex.org/A2256964962|https://openalex.org/A2181298726|https://openalex.org/A2025923468|https://openalex.org/A2141133335|https://openalex.org/A1172213874,aquifer|transboundary,,Agency (philosophy)|Environmental protection|Sociology|Political science|Commission|Law|Legislation|Groundwater|Environmental planning|Engineering|Geotechnical engineering|Social science|General partnership|Aquifer|Geography|Public administration,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2183826161"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2010,US,44650085970622dcd8ac50bf2cfe53ec8a70bef904486b93d43942d5ddc74b64,,,,,,,,,,,,
Floyd Gray,https://openalex.org/A2426354916,United States Geological Survey,Reston,Virginia,United States,38.94762,-77.36789,https://openalex.org/A2402154692|https://openalex.org/A2194602839|https://openalex.org/A3167283423|https://openalex.org/A3170515377|https://openalex.org/A2595057579|https://openalex.org/A2256964962|https://openalex.org/A2712847167|https://openalex.org/A2748888965|https://openalex.org/A2025923468|https://openalex.org/A2152201748|https://openalex.org/A3171467564|https://openalex.org/A2899081578|https://openalex.org/A3169750491|https://openalex.org/A2898978243,aquifer|transboundary,,Geology|Environmental economics|Business|Environmental planning|Archaeology|Environmental science|Computer security|Computer science|Hydrology (agriculture)|Groundwater|Stakeholder|Geotechnical engineering|Public relations|Water resource management|Environmental resource management|Environmental protection|Mechanical engineering|Natural resource economics|Work (physics)|Economics|Engineering|Prioritization|Vulnerability (computing)|Process management|Aquifer|Geography|Political science,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2426354916"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2018|2021,US,867ae5ad0885d9aa109873cf4bd8627180d82571c0a0d8d44eacba90c8af8bd6,,,,Reston,,,,,,,,
Francesco Sindico,https://openalex.org/A2568454348,University of Strathclyde,Glasgow,,United Kingdom,55.861717,-4.2417,https://openalex.org/A2894250899|https://openalex.org/A2693784035|https://openalex.org/A2802316349|https://openalex.org/A1992930883,aquifer|transboundary,,Corporate governance|Government (linguistics)|International law|Geology|Water security|Linguistics|Biology|Electrical engineering|Business|Environmental planning|Finance|Environmental science|Commission|Preamble|Politics|Marketing|Obligation|Telecommunications|Upstream (networking)|Groundwater|Convention|Channel (broadcasting)|Geotechnical engineering|Treaty|Water resources|Water resource management|International waters|Environmental ethics|Law|Economic shortage|Sovereignty|Ecology|Engineering|Downstream (manufacturing)|Hydrology (agriculture)|Aquifer|Philosophy|Geography|Political science,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2568454348"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2017|2018|2021|2010|2011|2015,US,87ed2263a683e7400098a6a3749e84cd7b673be1eb1a49695a90ec353994108c,,,,,,,,,,,,
Francesco Sindico,https://openalex.org/A3162450707,Unknown,,,,,,,aquifer|transboundary,,Groundwater|Business|Petroleum engineering|Geology|Geotechnical engineering|Aquifer|Environmental science|Water resource management,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A3162450707"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2020,US,,,,,,,,,,,,,
Francesco Treu,https://openalex.org/A1227957414,University of Trieste,Trieste,,Italy,45.6585,13.79318,https://openalex.org/A2654700738|https://openalex.org/A2021648950|https://openalex.org/A2763297119|https://openalex.org/A2768975497|https://openalex.org/A2769597676|https://openalex.org/A2770110961|https://openalex.org/A2214409175,aquifer|transboundary,,Paleontology|Hydrogeology|Groundwater model|Karst|Groundwater|Ecology|Geology|Groundwater flow|Geotechnical engineering|Hydrology (agriculture)|Water resources|Water quality|Aquifer|Biology|Environmental science|Geomorphology|Structural basin,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A1227957414"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2018,US,cff4a8bf5ba88523ad693d9462f131ee13d30d1c87f2f8360874aa8a2c94ede9,,,,,,,,,,,,
Franci GabrovÅ¡ek,https://openalex.org/A1847773878,InÅ¡titut za Raziskovanje Krasa,Postojna,,Slovenia,45.775494,14.212974,https://openalex.org/A2021648950|https://openalex.org/A1909241499|https://openalex.org/A1991635871|https://openalex.org/A2166786864|https://openalex.org/A3174749910|https://openalex.org/A142819530|https://openalex.org/A1771869690|https://openalex.org/A2763297119|https://openalex.org/A2084003773|https://openalex.org/A2188640442|https://openalex.org/A2105955737|https://openalex.org/A2167004350|https://openalex.org/A2214409175,aquifer|transboundary,,Spring (device)|Karst|Geology|Biology|Earth science|Groundwater recharge|Mathematical analysis|Geochemistry|Mathematics|Paleontology|Drainage|Cartography|Hydrology (agriculture)|Groundwater|Geotechnical engineering|Mechanical engineering|Hydrogeology|Drainage basin|Ecology|Engineering|Plateau (mathematics)|Massif|Aquifer|Geography,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A1847773878"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2010|2015,US,53da989ffa14da1db53c7b7a7d958a6b34f059baeaf59422b8dd7a0bbc89f2cd,,,,,,,,,,,,
Francisco Javier Grijalva Noriega,https://openalex.org/A4222273574,Universidad de Sonora,Hermosillo,,Mexico,29.083,-110.962,https://openalex.org/A4222273575|https://openalex.org/A4222273573|https://openalex.org/A4222273572|https://openalex.org/A4222273571,aquifer|transboundary,,Groundwater|Landform|Geology|Geotechnical engineering|Groundwater recharge|Hydrology (agriculture)|Aquifer|Environmental science|Geomorphology|Water resource management,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A4222273574"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2022,US,1048d45f345e7a99d57894b733f63593c354454f7096e33ee41a27b527802986,,,,,,,,,,,,
Francisco JosÃ© Fonseca Ferreira,https://openalex.org/A2149461402,Federal University of ParanÃ¡,Curitiba,ParanÃ¡,Brazil,-25.428888,-49.2675,https://openalex.org/A2099566152|https://openalex.org/A3091822810,aquifer|transboundary,,Current (fluid)|Oceanography|Conceptual model|Database|Computer science|Hydrogeology|Groundwater|Facies|Geology|Geotechnical engineering|Hydrology (agriculture)|Aquifer|Environmental science|Geomorphology|Structural basin,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2149461402"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2018,US,e490fa88d025afba709ea746dc9fe0642c35677718e6352aaca766179049aa8b,,,,Curitiba -49.2675,,,,,,,,
Franco Cucchi,https://openalex.org/A142819530,University of Trieste,Trieste,,Italy,45.6585,13.79318,https://openalex.org/A1991635871|https://openalex.org/A2763297119|https://openalex.org/A1847773878|https://openalex.org/A2167004350|https://openalex.org/A2188640442,aquifer|transboundary,,Spring (device)|Earth science|Mathematics|Paleontology|Hydrogeology|Mechanical engineering|Karst|Groundwater|Hydrology (agriculture)|Geology|Geotechnical engineering|Groundwater recharge|Mathematical analysis|Engineering|Plateau (mathematics)|Aquifer,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A142819530"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2010,US,491beddd145a0f7c5c39aef58077a9011deb2fee83f29f9931faa7bf52738683,,,,,,,,,,,,
Francois Crastes de Paulet,https://openalex.org/A2707370545,Unknown,,,,,,https://openalex.org/A2683198298|https://openalex.org/A2441859426,aquifer|transboundary,,Sulfate|Dissolution|Chemistry|Sulfur|Groundwater|Evaporite|Geology|Geotechnical engineering|Physical chemistry|Geomorphology|Hydrology (agriculture)|Geochemistry|Aquifer|Organic chemistry|Carboniferous|Sedimentary rock|Structural basin,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2707370545"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2013,US,bd5bb34d3799aa94ad41f44b6e275f0fae074f9fd957954e83055fc029e7f2d2,,,,,,,,,,,,
Franjo DukariÄ,https://openalex.org/A3206599529,Croatian Geological Survey,Zagreb,,Croatia,45.795376,16.008965,https://openalex.org/A1173320144|https://openalex.org/A3164732485|https://openalex.org/A2036961034|https://openalex.org/A2054626739,aquifer|transboundary,,Karst|Carbonate rock|Geology|Materials science|Carbonate|Earth science|Metallurgy|Geochemistry|Tectonics|Alluvium|Geomorphology|Neogene|Paleontology|Cartography|Clastic rock|Groundwater|Geotechnical engineering|Sedimentary rock|Structural basin|Drainage basin|Aquifer|Geography,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A3206599529"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2012,US,8368605616a7c89b14592229ea4f54b55faad9eaa4b74d9098dfb1f83a14ac44,,,,,Zagreb,,,,,,,
Frank A. Ward,https://openalex.org/A2154521165,New Mexico State University,Las Cruces,New Mexico,United States,32.28164,-106.75365,https://openalex.org/A2302867590|https://openalex.org/A2904225235|https://openalex.org/A1906996625,aquifer|transboundary,,Geology|Environmental engineering|Water quality|Water supply|Biology|Physics|Adaptation (eye)|Electrical engineering|Oceanography|Climate change adaptation|Optics|Business|Environmental planning|Environmental science|Current (fluid)|Population|Climate change|Marketing|Telecommunications|Upstream (networking)|Demography|Groundwater|Geotechnical engineering|Surface water|Water resource management|Sociology|Environmental resource management|Natural resource economics|Economics|Ecology|Engineering|Downstream (manufacturing)|Hydrology (agriculture)|Aquifer|Geography,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2154521165"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2018|2003,US,71f3809433e13c66ead073e6e555a7a90998fa734323252e660ec097f999edbc,,,,Las Cruces,,,,,,,,
Frank Biermann,https://openalex.org/A2012874820,Utrecht University,Utrecht,Utrecht,Netherlands,52.090164,5.122601,https://openalex.org/A2478565780|https://openalex.org/A2755389641,aquifer|transboundary,,Environmental resource management|Political science|Corporate governance|Artificial intelligence|Geography|Groundwater|Business|Regional science|Environmental planning|Perspective (graphical)|Geology|Geotechnical engineering|Finance|Aquifer|Environmental science|Computer science|Water resource management,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2012874820"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2022,US,67124b387564ed9c7fc95647fdcd9b49959bb25c8b2aef18e67608afff764939,,,,,Utrecht,,,,,,,
Frank J. Loge,https://openalex.org/A2251142836,"University of California, Davis",Davis,California,United States,38.54,-121.75,https://openalex.org/A3199211143|https://openalex.org/A2237021420|https://openalex.org/A2572312473|https://openalex.org/A3201052205|https://openalex.org/A3199486615,aquifer|transboundary,,Arid|Paleontology|Hydrogeology|Water supply|Groundwater|Ecology|Geology|Geotechnical engineering|Groundwater recharge|Overexploitation|Hydrology (agriculture)|Environmental science|Environmental engineering|Aquifer|Biology|Irrigation|Water resource management,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2251142836"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2022,US,d68b9ec8283165171c263d2e9990c43f2b40a1bc9fefa3f6e779933054ac8d18,Davis,,,,,,,,,,,
Franziska Griger,https://openalex.org/A2688795030,Karlsruhe Institute of Technology,Karlsruhe,,Germany,49.01185,8.416644,https://openalex.org/A2115363734|https://openalex.org/A2193968246|https://openalex.org/A2311002528|https://openalex.org/A2022777646|https://openalex.org/A271146531|https://openalex.org/A2248824626|https://openalex.org/A1968672544|https://openalex.org/A2710319207|https://openalex.org/A2110654652|https://openalex.org/A3007393738|https://openalex.org/A2061648226,aquifer|transboundary,,Paleontology|Cartography|Hydrogeology|Karst|Groundwater|Geology|Geotechnical engineering|Geologic map|Hydrology (agriculture)|Aquifer|Geomorphology|Geography,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2688795030"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2017,US,ba260cd5b1bb4143c0684b22589a9538ef811a1a9ac3101851ed879a3b8208ec,,,,Karlsruhe,,,,,,,,
FranÃ§ois Crastes de Paulet,https://openalex.org/A2608022016,Unknown,,,,,,,aquifer|transboundary,,Paleontology|Hydrogeology|Borehole|Environmental engineering|Water table|Groundwater|Geology|Groundwater flow|Groundwater recharge|Resource (disambiguation)|Geotechnical engineering|Hydrology (agriculture)|Computer network|Aquifer|Water supply|Environmental science|Computer science|Water resource management,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2608022016"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2015,US,,,,,,,,,,,,,
FranÃ§ois Crastes de Paulet,https://openalex.org/A4302489832,Bureau de Recherches GÃ©ologiques et MiniÃ¨res,OrlÃ©ans,,France,47.82994,1.938281,,aquifer|transboundary,,Mining engineering|Hydrogeology|Groundwater|Carboniferous|Petroleum engineering|Geology|Geotechnical engineering|Hydrology (agriculture)|Aquifer|Environmental science|Geomorphology|Structural basin|Water resource management,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A4302489832"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2015,US,,,,,,,,,,,,,
Frederick L. Paillet,https://openalex.org/A2248440905,United States Geological Survey,Reston,Virginia,United States,38.94762,-77.36789,https://openalex.org/A1861183884|https://openalex.org/A2171282105|https://openalex.org/A2178137810|https://openalex.org/A2688986407,aquifer|transboundary,,Horticulture|Precambrian|Hydrogeology|Bedrock|Bedding|Groundwater|Geology|Geotechnical engineering|Metamorphic rock|Geochemistry|Aquifer|Biology|Geomorphology|Gneiss,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2248440905"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2010,US,298f440536d96e96757b19328c46e9e27985efc661f802266bd1390eae97beb7,,,,Reston,,,,,,,,
Fredy Cabrera-Olivera,https://openalex.org/A3199486615,Jorge Basadre Grohmann National University,Tacna,,Peru,-18.02457,-70.25062,https://openalex.org/A2251142836|https://openalex.org/A3199211143|https://openalex.org/A2237021420|https://openalex.org/A2572312473|https://openalex.org/A3201052205,aquifer|transboundary,,Arid|Paleontology|Hydrogeology|Water supply|Groundwater|Ecology|Geology|Geotechnical engineering|Groundwater recharge|Overexploitation|Hydrology (agriculture)|Environmental science|Environmental engineering|Aquifer|Biology|Irrigation|Water resource management,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A3199486615"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2022,US,3ac8a3f580813ccf70dfe9a8540618b27c8df390f6ce3ac39bb2c7483fd60714,Tacna -70.25062,,,,,,,,,,,
Fredy Erlingtton Apaza Choquehuayta,https://openalex.org/A2990966371,Instituto GeolÃ³gico Minero y MetalÃºrgico,Lima,,Peru,-12.084929,-77.00925,https://openalex.org/A2171934957|https://openalex.org/A2526505017|https://openalex.org/A2705603161|https://openalex.org/A2795574050|https://openalex.org/A2814641798|https://openalex.org/A2439970208|https://openalex.org/A2190248547|https://openalex.org/A2765481812|https://openalex.org/A2104182281|https://openalex.org/A1895111053,aquifer|transboundary,,Chemistry|Geology|Linguistics|Geophysics|Latin Americans|Earth science|Geothermal gradient|Geochemistry|Volcano|Environmental science|Arsenic|Groundwater|Geothermal energy|Arsenic contamination of groundwater|Geotechnical engineering|Organic chemistry|Environmental protection|Aquifer|Philosophy|Geography,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2990966371"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2020,US,cab0f545dd10698218c6e23fa596fecf061e3cd95bd4b5744668e5971ac05a95,,,,,Lima,,,,,,,
Fridtjov Ruden,https://openalex.org/A4290204197,Unknown,,,,,,https://openalex.org/A4290204193|https://openalex.org/A4290204195|https://openalex.org/A4290204194|https://openalex.org/A4290204196,aquifer|transboundary,,Porosity|Hydrogeology|Petrophysics|Groundwater|Geology|Groundwater flow|Geotechnical engineering|Hydrology (agriculture)|Aquifer,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A4290204197"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2022,US,,,,,,,,,,,,,
FrÃ©dÃ©ric Frappart,https://openalex.org/A2001145276,International Sleep Products Association,,,,38.8117,-77.04338,,aquifer|transboundary,,Water cycle|Geology|Biology|Oceanography|Water storage|Meteorology|Groundwater recharge|Environmental science|Geomorphology|Paleontology|Climate change|Groundwater|Inlet|Geotechnical engineering|Precipitation|Arid|Evapotranspiration|Ecology|Hydrology (agriculture)|Aquifer|Geography,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2001145276"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2020,US,,,,,,,,,,,,,
FrÃ©dÃ©ric Huneau,https://openalex.org/A1978114874,University of Corsica Pascal Paoli,Corte,,France,42.299168,9.153333,https://openalex.org/A2654467020|https://openalex.org/A2624293234|https://openalex.org/A2527509443|https://openalex.org/A2313242596|https://openalex.org/A2717919497|https://openalex.org/A2582092758|https://openalex.org/A2291254007|https://openalex.org/A2658218303,aquifer|transboundary,,Residence time (fluid dynamics)|Sedimentary rock|Groundwater|Geology|Geotechnical engineering|Groundwater flow|Hydrology (agriculture)|Geochemistry|Aquifer|Geomorphology|Structural basin,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A1978114874"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2011,US,61b36e7e0a80768663559fa80e5fe4be6a1ceda12ef68f57492281de1aac1c26,Corte 9.153333,,,,,,,,,,,
Fulvio Franchi,https://openalex.org/A2558452876,Botswana International University of Science and Technology,Palapye,,Botswana,-22.551643,27.114773,https://openalex.org/A2044668103,aquifer,,Lithostratigraphy|Paleontology|Supergroup|Geology|Structural basin,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2558452876"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2019,US,5f0d48b2ea458b30b47617b7744340ad3a9dd5c2c09742b66f65207b88bd23b0,,,,,,,,,,,,
G. Berthold,https://openalex.org/A3174779460,"Hessian Agency for Nature Conservation, Environment and Geology",Wiesbaden,,Germany,50.034893,8.242825,https://openalex.org/A3176264646|https://openalex.org/A2294812379|https://openalex.org/A2141022746|https://openalex.org/A2797085810|https://openalex.org/A2915797193|https://openalex.org/A2691816330,aquifer|transboundary,,Natural (archaeology)|Groundwater|Archaeology|Geology|Geotechnical engineering|Hydrology (agriculture)|Environmental engineering|Environmental science|Geography,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A3174779460"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2008,US,be4a9a2ecafc950beb135720f208885455a36dd4811b7d7890de745c9817f033,,,,,Wiesbaden,,,,,,,
G. Jevtic,https://openalex.org/A2634700656,Unknown,,,,,,https://openalex.org/A2424909018|https://openalex.org/A2630030052|https://openalex.org/A2708925465|https://openalex.org/A2674309474,aquifer|transboundary,,Water supply|Groundwater|Water quality|Sustainable yield|Ecology|Geology|Geotechnical engineering|Hydrology (agriculture)|Environmental engineering|Aquifer|Biology|Environmental science|Water resources|Water resource management,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2634700656"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2007,US,52584fb049c2b678d6837fa983e66325aad4f72491f1f40c9d0e8d505eea6082,,,,,,,,,,,,
G. Roullier,https://openalex.org/A2639543091,Unknown,,,,,,https://openalex.org/A2489258024|https://openalex.org/A3132826496|https://openalex.org/A2633566122|https://openalex.org/A3186123300|https://openalex.org/A2675915508|https://openalex.org/A2497891593|https://openalex.org/A2510841100,aquifer|transboundary,,Hydrogeology|Groundwater|Basalt|Outcrop|Geology|Groundwater recharge|Geotechnical engineering|Hydrology (agriculture)|Geochemistry|Aquifer|Geomorphology,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2639543091"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2008,US,74e325abd98c33ef633e9e03eee452be48b09a7fee51c7dd08dcc60204e976c9,,,,,,,,,,,,
G. Stournaras,https://openalex.org/A2182540860,National and Kapodistrian University of Athens,Athens,Attiki,Greece,37.968266,23.778343,https://openalex.org/A2422334401|https://openalex.org/A2304341794,aquifer|transboundary,,Karst|Biology|Tourism|Business|Environmental planning|Archaeology|Environmental science|Groundwater|Geotechnical engineering|Water resources|Water resource management|Environmental resource management|Environmental protection|Law|Ecology|Engineering|Multidisciplinary approach|Aquifer|Geography|Political science,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2182540860"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2010,US,610025e199383ac6b3b44adcccdecc55bf1a2bb9b46e2282a9abb57358dc3c54,,,,,Athens,,,,,,,
G. de los Cobos,https://openalex.org/A2705941579,Unknown,,,,,,,aquifer|transboundary,,Groundwater resources|Groundwater|Ecology|Geology|Geotechnical engineering|Groundwater recharge|Hydrology (agriculture)|Aquifer|Biology|Environmental science|Water resources|Water resource management,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2705941579"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2009,US,,,,,,,,,,,,,
Gabriel de los Cobos,https://openalex.org/A3088322860,University of Geneva,Geneva,,Switzerland,46.199657,6.145095,https://openalex.org/A2137998694|https://openalex.org/A2729409985|https://openalex.org/A2440558380|https://openalex.org/A3037079094,aquifer|transboundary,,Microeconomics|Scarcity|Hydrogeology|Water scarcity|Groundwater|Business|Natural resource economics|Economics|Ecology|Incentive|Environmental economics|Engineering|Geotechnical engineering|Aquifer|Biology|Comparative statics|Water resources,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A3088322860"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2021,US,1793de2f8aa0a2388a6c79f647f4185889b7e8909b3c28182ef8ff89a6bb6d0a,,,,,Geneva,,,,,,,
